# Step | Energy (eV) | Status
 622 |  -611.470139 | Accepted
 623 |  -611.470044 | Accepted
 624 |  -611.473106 | Accepted
 625 |  -611.476872 | Accepted
 626 |  -611.480893 | Accepted
 627 |  -611.477714 | Accepted
 629 |  -611.475830 | Accepted
 630 |  -611.478436 | Accepted
 631 |  -611.476047 | Accepted
 632 |  -611.616676 | Accepted
 633 |  -611.615771 | Accepted
 634 |  -611.615766 | Accepted
 635 |  -611.616719 | Accepted
 636 |  -611.613140 | Accepted
 637 |  -611.615046 | Accepted
 638 |  -611.636166 | Accepted
 639 |  -611.679136 | Accepted
 640 |  -611.687879 | Accepted
 641 |  -611.686047 | Accepted
 642 |  -611.694874 | Accepted
 643 |  -611.691940 | Accepted
 644 |  -611.899381 | Accepted
 645 |  -611.913664 | Accepted
 646 |  -611.916530 | Accepted
 647 |  -611.917040 | Accepted
 648 |  -611.915657 | Accepted
 649 |  -611.931774 | Accepted
 651 |  -611.930651 | Accepted
 652 |  -611.933331 | Accepted
 653 |  -611.930770 | Accepted
 654 |  -611.928439 | Accepted
 655 |  -611.932279 | Accepted
 656 |  -611.928549 | Accepted
 657 |  -611.931408 | Accepted
 658 |  -611.932229 | Accepted
 659 |  -611.930890 | Accepted
 660 |  -611.927791 | Accepted
 661 |  -611.930952 | Accepted
 662 |  -611.933296 | Accepted
 663 |  -611.930714 | Accepted
 664 |  -611.929869 | Accepted
 665 |  -611.920220 | Accepted
 666 |  -611.918640 | Accepted
 667 |  -611.922074 | Accepted
 668 |  -611.929070 | Accepted
 669 |  -611.931311 | Accepted
 670 |  -611.932039 | Accepted
 671 |  -611.931618 | Accepted
 672 |  -611.924554 | Accepted
 673 |  -611.931037 | Accepted
 674 |  -611.932135 | Accepted
 675 |  -611.927219 | Accepted
 676 |  -611.932299 | Accepted
 677 |  -611.932218 | Accepted
 678 |  -611.929362 | Accepted
 679 |  -611.925664 | Accepted
 680 |  -611.922685 | Accepted
 681 |  -611.917845 | Accepted
 682 |  -611.917091 | Accepted
 683 |  -611.918894 | Accepted
 684 |  -611.917963 | Accepted
 685 |  -611.918498 | Accepted
 686 |  -611.931514 | Accepted
 687 |  -611.932065 | Accepted
 688 |  -611.933771 | Accepted
 689 |  -611.930251 | Accepted
 691 |  -611.928623 | Accepted
 692 |  -611.927099 | Accepted
 693 |  -611.931063 | Accepted
 694 |  -611.931179 | Accepted
 695 |  -611.928529 | Accepted
 696 |  -611.927703 | Accepted
 697 |  -611.927097 | Accepted
 698 |  -611.931180 | Accepted
 699 |  -611.930329 | Accepted
 700 |  -611.930235 | Accepted
 701 |  -611.931908 | Accepted
 703 |  -611.923870 | Accepted
 704 |  -611.927051 | Accepted
 705 |  -611.930154 | Accepted
 706 |  -611.932328 | Accepted
 708 |  -611.924206 | Accepted
 711 |  -611.931791 | Accepted
 712 |  -611.932797 | Accepted
 713 |  -611.932705 | Accepted
